metric,total_seconds,median_seconds,rows
dcor_directed,5.7385280000307395,0.00634019999961305,924
ah_directed,11.905980699953899,0.0133256000008259,924
ah_full,12.38563070000232,0.013867850000678951,924
h2_full,13.023283400038007,0.0174407000013161,924
correlation_full,13.068157300061968,0.01745715000106425,924
dcor_full,13.806319899915206,0.0060658500005956,924
correlation_directed,14.482855299949689,0.0190877999993972,924
h2_directed,14.541123800121524,0.0191938499992829,924
coherence_full,28.643929600017103,0.035567949997130144,924
mutinf_full,33.498766500011655,0.041925400000764,924
te_partial,39.86947649997815,0.0445570000010775,924
granger_full,43.78288969994897,0.0487003500002174,924
correlation_kendall,49.9938291999933,0.06923020000067476,924
correlation_spearman,54.08590460000774,0.07480634999956229,924
wavelet_full,90.79336019995385,0.11110404999999444,924
te_full,153.62879149999205,0.13968639999984583,924
dcor_partial,153.88405780004175,0.13160330000027895,924
h2_partial,163.92219430005932,0.14229699999850703,924
ah_partial,171.51595549996998,0.1459800499997072,924
correlation_partial,173.27613850003397,0.1454912499993952,924
coherence_partial,179.10525370003958,0.15446030000020974,924
mutinf_partial,182.02211419998272,0.1617426499997236,924
granger_partial,191.63211649996808,0.1895473499989748,924
wavelet_partial,238.89334810002399,0.2302414000005228,924
ordinal_full,1934.0609111000267,1.5706273000014335,924
ordinal_directed,3842.42373160008,3.126821550002205,924
